

resonance, Y
1, 5.02843e+14
2, 5.08614e+14
3, 5.10445e+14
4, 5.18647e+14
5, 5.21996e+14
6, 5.25797e+14
7, 5.37244e+14
8, 5.39743e+14
9, 5.483e+14
10, 5.48682e+14
11, 5.5021e+14
12, 5.50943e+14
13, 5.56102e+14
14, 5.64607e+14
15, 5.65025e+14
16, 5.73439e+14
17, 5.80145e+14
18, 5.82332e+14
19, 5.88073e+14
20, 5.94948e+14
21, 6.00892e+14
22, 6.01201e+14
23, 6.09049e+14
24, 6.12204e+14
25, 6.20125e+14
26, 6.24987e+14
27, 6.27631e+14
28, 6.31777e+14
29, 6.37915e+14
30, 6.44099e+14
31, 6.56933e+14
32, 6.63069e+14
33, 6.65232e+14
34, 6.65556e+14
35, 6.76937e+14
36, 6.79252e+14
37, 6.85697e+14
38, 6.86811e+14
39, 6.89492e+14
40, 6.99796e+14
41, 7.0046e+14
42, 7.04579e+14
43, 7.12053e+14
44, 7.15973e+14
45, 7.18724e+14
46, 7.26674e+14
47, 7.35604e+14
48, 7.37731e+14
49, 7.48907e+14




resonance, Y
1, 4.5796e+13
2, 1.10655e+13
3, 3.55004e+13
4, 2.25802e+13
5, 7.92819e+13
6, 2.53936e+13
7, 3.09595e+13
8, 8.42759e+12
9, 2.61065e+13
10, 7.94405e+13
11, 6.25007e+11
12, 2.94438e+11
13, 1.38147e+13
14, 1.1145e+14
15, 8.37721e+12
16, 1.8421e+13
17, 2.11263e+13
18, 4.54194e+13
19, 9.15445e+12
20, 1.59694e+12
21, 8.13196e+13
22, 1.80578e+13
23, 6.48269e+12
24, 3.73703e+13
25, 8.34017e+12
26, 1.00628e+14
27, 2.43763e+13
28, 2.44214e+13
29, 1.02491e+13
30, 2.9818e+13
31, 1.81818e+13
32, 4.19768e+11
33, 5.77627e+13
34, 5.50404e+12
35, 1.80446e+13
36, 7.82332e+12
37, 1.22981e+13
38, 5.30347e+13
39, 6.71475e+12
40, 1.9506e+13
41, 2.57842e+13
42, 1.01339e+14
43, 1.21566e+13
44, 7.75474e+12
45, 3.69296e+13
46, 1.35485e+13
47, 9.77781e+12
48, 8.07829e+13
49, 1.18785e+14




resonance, Y
1, 34.4949
2, 144.4
3, 45.1715
4, 72.1597
5, 20.6844
6, 65.0496
7, 54.5164
8, 201.203
9, 65.9811
10, 21.6985
11, 2765.62
12, 5878.46
13, 126.463
14, 15.9153
15, 211.894
16, 97.7965
17, 86.2708
18, 40.2791
19, 201.813
20, 1170.41
21, 23.2141
22, 104.594
23, 295.152
24, 51.4658
25, 233.59
26, 19.512
27, 80.8883
28, 81.2723
29, 195.536
30, 67.8615
31, 113.51
32, 4962.49
33, 36.1805
34, 379.886
35, 117.856
36, 272.766
37, 175.164
38, 40.6843
39, 322.589
40, 112.708
41, 85.3454
42, 21.8426
43, 184.014
